sketch_uploaded;consent;map_frame_created;map_frame_uuid;bbox;centroid;format;orientation;orientation_det
2024-08-08 02:45:22.294 +0200;false;2024-08-07 00:50:05.743;15f0a168-67f4-4e6a-99e1-b91eae9eb49f;POLYGON((138.5994537029604 -34.92512379916074,138.6072046835753 -34.92512379916074,138.6072046835753 -34.919804349232976,138.5994537029604 -34.919804349232976,138.5994537029604 -34.92512379916074));POINT(138.60332919326785 -34.92246411729873);a4;landscape;landscape
2024-08-08 02:46:36.487 +0200;false;2024-08-07 00:50:05.743;15f0a168-67f4-4e6a-99e1-b91eae9eb49f;POLYGON((138.5994537029604 -34.92512379916074,138.6072046835753 -34.92512379916074,138.6072046835753 -34.919804349232976,138.5994537029604 -34.919804349232976,138.5994537029604 -34.92512379916074));POINT(138.60332919326785 -34.92246411729873);a4;landscape;landscape
2024-08-08 02:48:27.596 +0200;false;2024-08-07 00:50:05.743;15f0a168-67f4-4e6a-99e1-b91eae9eb49f;POLYGON((138.5994537029604 -34.92512379916074,138.6072046835753 -34.92512379916074,138.6072046835753 -34.919804349232976,138.5994537029604 -34.919804349232976,138.5994537029604 -34.92512379916074));POINT(138.60332919326785 -34.92246411729873);a4;landscape;landscape
2024-08-08 02:49:14.458 +0200;false;2024-08-06 08:54:20.912;25c2a095-1864-44d0-8bb2-b27d9514c2f0;POLYGON((138.46566886507884 -34.852935665019125,138.55141273783377 -34.852935665019125,138.55141273783377 -34.79401928879516,138.46566886507884 -34.79401928879516,138.46566886507884 -34.852935665019125));POINT(138.5085408014563 -34.82348274478001);a4;landscape;landscape
2024-08-08 02:51:18.382 +0200;false;2024-08-06 09:45:48.677;79ab81a8-8813-44db-b298-9000b1873e49;POLYGON((138.4896453482055 -34.85174912596621,138.52889533741597 -34.85174912596621,138.52889533741597 -34.813366831554646,138.4896453482055 -34.813366831554646,138.4896453482055 -34.85174912596621));POINT(138.50927034281074 -34.832560215275734);a3;portrait;portrait
2024-08-08 02:55:02.010 +0200;false;2024-08-07 00:50:05.743;15f0a168-67f4-4e6a-99e1-b91eae9eb49f;POLYGON((138.5994537029604 -34.92512379916074,138.6072046835753 -34.92512379916074,138.6072046835753 -34.919804349232976,138.5994537029604 -34.919804349232976,138.5994537029604 -34.92512379916074));POINT(138.60332919326785 -34.92246411729873);a4;landscape;landscape
2024-08-09 20:45:49.250 +0200;false;2024-08-09 20:41:48.243;9c3f9517-e6bf-48f3-977d-c244b28ddad7;POLYGON((8.570066798733507 12.06309069138895,8.572412162991881 12.06309069138895,8.572412162991881 12.065015877866713,8.570066798733507 12.065015877866713,8.570066798733507 12.06309069138895));POINT(8.571239480862694 12.064053286356);a3;landscape;landscape
2024-08-11 08:02:30.798 +0200;true;2024-08-11 07:57:15.411;52f80329-d269-4e0b-b449-8661f61874c9;POLYGON((88.31786603905239 22.513326883636253,88.32354401530215 22.513326883636253,88.32354401530215 22.517729610404928,88.31786603905239 22.517729610404928,88.31786603905239 22.513326883636253));POINT(88.32070502717727 22.515528264550838);a3;landscape;landscape
2024-08-12 04:37:27.143 +0200;false;2024-08-12 04:32:23.146;a2226c2f-3d77-4b3f-9e18-04f40e111b65;POLYGON((121.01022197213273 14.620906609579194,121.02035131871754 14.620906609579194,121.02035131871754 14.629110342128456,121.01022197213273 14.629110342128456,121.01022197213273 14.620906609579194));POINT(121.01528664542515 14.62500851416823);a4;landscape;landscape
2024-08-12 06:15:49.082 +0200;false;2024-08-12 06:10:31.240;92c781f4-332f-435e-af4a-af91d1fc26a9;POLYGON((138.64964505548355 -34.92174834519218,138.65126727058507 -34.92174834519218,138.65126727058507 -34.920635011765725,138.64964505548355 -34.920635011765725,138.64964505548355 -34.92174834519218));POINT(138.6504561630343 -34.92119168036692);a4;landscape;landscape
